z in mm,x in mm +- .010 mm,I in mW +- 0.5
10,15.7,67.8
10,15.6,67.8
10,15.5,67.8
10,15.4,67.4
10,15.3,67.1
10,15.2,66.5
10,15.1,65.4
10,15,64.4
10,14.9,63.1
10,14.8,62
10,14.7,60
10,14.6,58.1
10,14.5,55.5
10,14.4,52.6
10,14.3,49.9
10,14.2,46.8
10,14.1,42.7
10,14,39.1
10,13.9,35.6
10,13.8,31
10,13.7,27.5
10,13.6,24.3
10,13.5,21.1
10,13.4,18.1
10,13.3,15
10,13.2,12.4
10,13.1,9.9
10,13,7.6
10,12.9,5.8
10,12.8,4.4
10,12.7,3.2
10,12.6,2.3
10,12.5,1.6
10,12.4,1.1
10,12.3,0.7
10,12.2,0.5
10,12.1,0.4
15,15.2,67.6
15,15.1,67.6
15,15,67.4
15,14.9,67
15,14.8,66.3
15,14.7,65.4
15,14.6,64.4
15,14.5,62.1
15,14.4,60.4
15,14.3,58
15,14.2,54.2
15,14.1,50.9
15,14,47
15,13.9,42.4
15,13.8,38.4
15,13.7,31.7
15,13.6,28.5
15,13.5,24.4
15,13.4,21.1
15,13.3,17.2
15,13.2,13.4
15,13.1,10.3
15,13,8
15,12.9,5.9
15,12.8,4.1
15,12.7,2.8
15,12.6,2
15,12.5,1.1
20,14.7,67.1
20,14.6,66.8
20,14.5,66.7
20,14.4,65.3
20,14.3,64.4
20,14.2,62.3
20,14.1,59.9
20,14,56.3
20,13.9,52.1
20,13.8,47.5
20,13.7,42.6
20,13.6,36.2
20,13.5,31.1
20,13.4,25.6
20,13.3,20
20,13.2,15.9
20,13.1,11.7
20,13,8.2
20,12.9,5.4
20,12.8,3.8
20,12.7,2.2
20,12.6,1.3
20,12.5,0.7
25,14.2,67.5
25,14.1,67.1
25,14,65.9
25,13.9,63.2
25,13.8,60.7
25,13.7,56.1
25,13.6,49.8
25,13.5,43.2
25,13.4,35
25,13.3,27.5
25,13.2,21.2
25,13.1,14.7
25,13,9.1
25,12.9,5.1
25,12.8,3
25,12.7,1.5
25,12.6,0.8
25,12.5,0.5
