brennweite mm,winkel in grad,leistung in mV +- .5
30,258,140
30,260,140
30,262,140
30,264,135
30,266,130
30,268,125
30,270,125
30,272,105
30,274,90
30,276,70
30,278,55
30,280,55
30,282,50
30,284,45
30,286,35
30,288,25
30,290,20
30,292,20
30,294,10
40,258,112
40,260,118
40,262,120
40,264,116
40,266,118
40,268,118
40,270,118
40,271,108
40,272,86
40,273,84
40,274,76
40,275,72
40,276,64
40,277,56
40,278,52
40,279,50
40,280,50
40,281,52
40,282,54
40,283,66
40,284,50
40,285,36
40,286,32
40,287,24
40,288,20
40,290,16
40,292,12
40,,
40,250,120
40,252,114
40,254,106
40,256,104
40,258,112
40,260,120
40,262,122
40,264,120
40,266,118
40,268,120
40,270,124
40,272,100
40,274,96
40,276,
40,278,
40,280,
,,
,,
,,
,,
,,
,,
,,
,232,6
,234,8.1
,236,14.2
,238,29.3
,240,72.2
,242,99.4
,244,111
,246,110.6
,248,104.5
40,250,93.1
40,252,83.1
40,254,77.1
40,256,81.4
40,258,88.5
40,260,105
40,262,113.3
40,264,117.6
40,266,118.7
40,268,117.2
40,270,105
40,272,64.4
40,274,38.4
40,276,24.3
40,278,16.9
40,280,11.2
40,282,7.8
40,284,5.7
40,286,5.7
